word,metaphone,translation
ambiente,AMVNT,environment
hambre,AMVR,hunger
ambos,AMVS,both
ámbito,AMVT,scope
ambición,AMVZN,ambition
ambicioso,AMVZS,ambitious
aun,AN,even
aún,AN,still
andaluz,ANDLZ,Andalusian
andar,ANDR,walk
ángulo,ANGL,angle
angustia,ANGST,anguish
ángel,ANJL,angel
aunque,ANK,although
anual,ANL,annual
anular,ANLR,cancel
análisis,ANLSS,analysis
analista,ANLST,analyst
analizar,ANLZR,analyze
ánimo,ANM,spirit
animado,ANMD,lively
animal,ANML,animal
animar,ANMR,cheer
anónimo,ANNM,anonymous
anuncio,ANNZ,announcement
anunciar,ANNZR,announce
ansia,ANS,longing
ansiedad,ANSDD,anxiety
ante,ANT,before
antiguo,ANTG,ancient
antena,ANTN,antenna
antepasado,ANTPSD,ancestor
anotar,ANTR,note
anterior,ANTRR,previous
anteriormente,ANTRRM,previously
antes,ANTS,before
antigüedad,ANTUDD,antiquity
antecedente,ANTZDN,antecedent
aniversario,ANVRSR,anniversary
ancho,ANX,wide
anoche,ANX,lastnight
anillo,ANY,ring
año,ANY,year
anciano,ANZN,elderly
ahogar,AOGR,drown
ahora,AOR,now
ahorro,AORR,savings
ahorrar,AORRR,save
apagar,APGR,turnoff
aplaudir,APLDR,applaud
aplicar,APLKR,apply
aplicación,APLKZN,application
apelar,APLR,appeal
aplauso,APLS,applause
aplastar,APLSTR,crush
apenas,APNS,hardly
apunte,APNT,note
apuntar,APNTR,aim
apuro,APR,trouble
aprender,APRNDR,learn
aprendizaje,APRNDZ,learning
aparentemente,APRNTM,apparently
apariencia,APRNZ,appearance
apropiado,APRPD,appropriate
apurar,APRR,hurry
apresurar,APRSRR,rush
aparato,APRT,device
aparte,APRT,aside
apartamento,APRTMN,apartment
apartar,APRTR,separate
apertura,APRTR,opening
aportar,APRTR,contribute
apretar,APRTR,squeeze
aportación,APRTZN,contribution
aprobar,APRVR,approve
aprovechar,APRVXR,profit
aprobación,APRVZN,approval
aproximadamente,APRXMD,approximately
aproximar,APRXMR,approach
aparición,APRZN,appearance
aparecer,APRZR,appear
apreciar,APRZR,appreciate
apuesta,APST,bet
apóstol,APSTL,apostle
apostar,APSTR,bet
apetito,APTT,appetite
apoyo,APY,support
apellido,APYD,surname
apoyar,APYR,support
aire,AR,air
aéreo,AR,aerial
área,AR,area
ardiente,ARDNT,burning
arder,ARDR,burn
argumentar,ARGMNT,argue
argumento,ARGMNT,argument
argentino,ARJNTN,Argentine
arco,ARK,arch
arqueológico,ARKLJK,archeological
arquitecto,ARKTKT,architect
arquitectura,ARKTKT,architecture
arma,ARM,weapon
aroma,ARM,aroma
armado,ARMD,armed
armonía,ARMN,harmony
armar,ARMR,assemble
armario,ARMR,wardrobe
arena,ARN,sand
harina,ARN,flour
araña,ARNY,spider
aeropuerto,ARPRT,airport
arruga,ARRG,wrinkle
arreglo,ARRGL,arrangement
arreglar,ARRGLR,fix
arrugar,ARRGR,wrinkle
arrojar,ARRJR,throw
arrancar,ARRNKR,start
arruinar,ARRNR,ruin
arriesgar,ARRSGR,risk
arrastrar,ARRSTR,drag
arriba,ARRV,above
arroyo,ARRY,stream
arroz,ARRZ,rice
arte,ART,art
harto,ART,fedup
artificial,ARTFZL,artificial
artículo,ARTKL,article
articulación,ARTKLZ,joint
artesano,ARTSN,artisan
artista,ARTST,artist
artístico,ARTSTK,artistic
árabe,ARV,Arab
árbol,ARVL,tree
árbitro,ARVTR,referee
archivo,ARXV,file
así,AS,thus
asignatura,ASGNTR,subject
asegurar,ASGRR,assure
asco,ASK,disgust
aislamiento,ASLMNT,isolation
aislar,ASLR,isolate
asalto,ASLT,assault
asaltar,ASLTR,assault
asumir,ASMR,assume
asamblea,ASMVL,assembly
asombro,ASMVR,amazement
asombrar,ASMVRR,amaze
asombroso,ASMVRS,amazing
asiento,ASNT,seat
asunto,ASNT,matter
asentir,ASNTR,agree
ausencia,ASNZ,absence
aspecto,ASPKT,aspect
áspero,ASPR,rough
aspirar,ASPRR,aspire
aspiración,ASPRZN,aspiration
asesino,ASSN,murderer
asesinar,ASSNR,murder
asesinato,ASSNT,murder
asistir,ASSTR,attend
asustar,ASSTR,scare
hasta,AST,until
asiático,ASTK,Asian
ascender,ASZNDR,ascend
ascensor,ASZNSR,elevator
asociar,ASZR,associate
asociación,ASZZN,association
auto,AT,car
ataúd,ATD,coffin
ataque,ATK,attack
atacar,ATKR,attack
atleta,ATLT,athlete
atómico,ATMK,atomic
atmósfera,ATMSFR,atmosphere
automóvil,ATMVL,automobile
atender,ATNDR,attend
autonomía,ATNM,autonomy
autónomo,ATNM,autonomous
atento,ATNT,attentive
atentado,ATNTD,attack
auténtico,ATNTK,authentic
atención,ATNZN,attention
atar,ATR,tie
autor,ATR,author
autoridad,ATRDD,authority
atardecer,ATRDZR,dusk
atractivo,ATRKTV,attractive
atormentar,ATRMNT,torment
atrapar,ATRPR,catch
atraer,ATRR,attract
atrás,ATRS,behind
atribuir,ATRVR,attribute
atravesar,ATRVSR,cross
atributo,ATRVT,attribute
atracción,ATRXN,attraction
autorizar,ATRZR,authorize
autorización,ATRZZN,authorization
autobús,ATVS,bus
ave,AV,bird
abogado,AVGD,lawyer
abajo,AVJ,below
abuela,AVL,grandmother
abuelo,AVL,grandfather
habla,AVL,speech
hábil,AVL,skillful
habilidad,AVLDD,skill
hablar,AVLR,speak
avión,AVN,airplane
avenida,AVND,avenue
abandono,AVNDN,abandonment
abandonado,AVNDND,abandoned
abandonar,AVNDNR,abandon
abundante,AVNDNT,abundant
abundancia,AVNDNZ,abundance
abundar,AVNDR,abound
aventura,AVNTR,adventure
avance,AVNZ,advance
avanzar,AVNZR,advance
haber,AVR,have
abordar,AVRDR,board
abrigo,AVRG,coat
avergonzar,AVRGNZ,embarrass
averiguar,AVRGR,findout
abarcar,AVRKR,span
abril,AVRL,April
abrir,AVRR,open
aburrido,AVRRD,bored
aburrir,AVRRR,bore
abierto,AVRT,open
aborto,AVRT,abortion
abrazo,AVRZ,hug
abrazar,AVRZR,hug
abuso,AVS,abuse
aviso,AVS,notice
absoluto,AVSLT,absolute
absolutamente,AVSLTM,absolutely
abismo,AVSM,abyss
abusar,AVSR,abuse
avisar,AVSR,notify
absurdo,AVSRD,absurd
absorber,AVSRVR,absorb
abstracto,AVSTRK,abstract
hábito,AVT,habit
habitual,AVTL,habitual
habitante,AVTNT,inhabitant
habitar,AVTR,inhabit
habitación,AVTZN,room
accidente,AXDNT,accident
acceder,AXDR,access
auxilio,AXL,aid
auxiliar,AXLR,assistant
acción,AXN,action
acceso,AXS,access
accesible,AXSVL,accessible
allá,AY,there
allí,AY,there
ayudante,AYDNT,helper
ayudar,AYDR,help
ayuntamiento,AYNTMN,townhall
hallar,AYR,find
hallazgo,AYZG,finding
hacia,AZ,toward
ácido,AZD,acid
azúcar,AZKR,sugar
azul,AZL,blue
acelerar,AZLRR,accelerate
hacienda,AZND,estate
acento,AZNT,accent
acentuar,AZNTR,accentuate
hazaña,AZNY,feat
aceptar,AZPTR,accept
aceptación,AZPTZN,acceptance
acera,AZR,sidewalk
acero,AZR,steel
azar,AZR,chance
hacer,AZR,do
acerca,AZRK,about
acercar,AZRKR,approach
acertar,AZRTR,guess
aceite,AZT,oil
de,D,of
día,D,day
dado,DD,dice
dedo,DD,finger
deuda,DD,debt
duda,DD,doubt
dedicar,DDKR,dedicate
dudar,DDR,doubt
dudoso,DDS,doubtful
deducir,DDZR,deduce
dificultad,DFKLTD,difficulty
dificultar,DFKLTR,hinder
defecto,DFKT,defect
defender,DFNDR,defend
difundir,DFNDR,spread
definir,DFNR,define
defensor,DFNSR,defender
definitivo,DFNTV,definitive
definitivamente,DFNTVM,definitely
definición,DFNZN,definition
diferencia,DFRNZ,difference
diferenciar,DFRNZR,differentiate
diferir,DFRR,differ
difusión,DFSN,diffusion
difícil,DFZL,difficult
déficit,DFZT,deficit
digno,DGN,worthy
dignidad,DGNDD,dignity
diagnóstico,DGNSTK,diagnosis
digital,DJTL,digital
duque,DK,duke
década,DKD,decade
decadencia,DKDNZ,decadence
declaración,DKLRZN,declaration
documento,DKMNT,document
documental,DKMNTL,documentary
documentación,DKMNTZ,documentation
decorar,DKRR,decorate
decreto,DKRT,decree
decoración,DKRZN,decoration
dictador,DKTDR,dictator
dictadura,DKTDR,dictatorship
doctor,DKTR,doctor
doctrina,DKTRN,doctrine
duelo,DL,duel
diálogo,DLG,dialogue
delegado,DLGD,delegate
delgado,DLGD,thin
delegación,DLGZN,delegation
delincuente,DLNKNT,delinquent
delante,DLNT,infront
diluir,DLR,dilute
doler,DLR,hurt
dolor,DLR,pain
dólar,DLR,dollar
doloroso,DLRS,painful
delito,DLT,crime
dulce,DLZ,sweet
delicioso,DLZS,delicious
dama,DM,lady
democrático,DMKRTK,democratic
democracia,DMKRZ,democracy
demonio,DMN,demon
dominio,DMN,domain
demanda,DMND,demand
domingo,DMNG,Sunday
dominicano,DMNKN,Dominican
dominar,DMNR,dominate
dimensión,DMNSN,dimension
demorar,DMRR,delay
demasiado,DMSD,too
demostrar,DMSTRR,demonstrate
demostración,DMSTRZ,demonstration
diámetro,DMTR,diameter
domicilio,DMZL,domicile
don,DN,gift
donde,DND,where
dónde,DND,where
denominar,DNMNR,name
denunciar,DNNZR,report
dinero,DNR,money
donar,DNR,donate
densidad,DNSDD,density
dinastía,DNST,dynasty
diente,DNT,tooth
dentro,DNTR,inside
daño,DNY,damage
dueño,DNY,owner
dañar,DNYR,damage
danza,DNZ,dance
donación,DNZN,donation
diplomático,DPLMTK,diplomat
dependencia,DPNDNZ,dependence
depender,DPNDR,depend
depresión,DPRSN,depression
deporte,DPRT,sport
departamento,DPRTMN,department
deportivo,DPRTV,sports
depósito,DPST,deposit
depositar,DPSTR,deposit
diputado,DPTD,deputy
dar,DR,give
diario,DR,daily
duro,DR,hard
droga,DRG,drug
dirigente,DRJNT,leader
dirigir,DRJR,direct
directo,DRKT,direct
director,DRKTR,director
drama,DRM,drama
dormir,DRMR,sleep
dramático,DRMTK,dramatic
dormitorio,DRMTR,bedroom
durante,DRNT,during
durar,DRR,last
derramar,DRRMR,spill
derrota,DRRT,defeat
derrotar,DRRTR,defeat
derribar,DRRVR,knockdown
derivar,DRVR,derive
derecha,DRX,right
dirección,DRXN,direction
duración,DRZN,duration
deseo,DS,desire
dios,DS,god
diosa,DS,goddess
dos,DS,two
deshacer,DSAZR,undo
desde,DSD,since
desafío,DSF,challenge
desfile,DSFL,parade
desafiar,DSFR,challenge
disfrutar,DSFRTR,enjoy
desigualdad,DSGLDD,inequality
designar,DSGNR,designate
desagradable,DSGRDV,unpleasant
desgracia,DSGRZ,misfortune
disgusto,DSGST,displeasure
disco,DSK,disc
descuidar,DSKDR,neglect
disculpa,DSKLP,excuse
disculpar,DSKLPR,excuse
descalzo,DSKLZ,barefoot
descanso,DSKNS,rest
descansar,DSKNSR,rest
desconocido,DSKNZD,unknown
descargar,DSKRGR,download
discriminación,DSKRMN,discrimination
descripción,DSKRPZ,description
discurso,DSKRS,speech
describir,DSKRVR,describe
discusión,DSKSN,discussion
discutir,DSKTR,discuss
descubrir,DSKVRR,discover
disolver,DSLVR,dissolve
deslizar,DSLZR,slide
disimular,DSMLR,pretend
disminuir,DSMNR,diminish
desempleo,DSMPL,unemployment
desempeñar,DSMPNY,fulfill
desnudo,DSND,naked
diseño,DSNY,design
diseñar,DSNYR,design
despedida,DSPDD,farewell
despedir,DSPDR,dismiss
despegar,DSPGR,takeoff
desplegar,DSPLGR,deploy
desplazamiento,DSPLZM,displacement
disponer,DSPNR,arrange
disparar,DSPRR,shoot
dispersar,DSPRSR,disperse
despierto,DSPRT,awake
despertar,DSPRTR,awaken
desprecio,DSPRZ,disdain
desaparición,DSPRZN,disappearance
desaparecer,DSPRZR,disappear
despreciar,DSPRZR,scorn
después,DSPS,after
dispuesto,DSPST,willing
disposición,DSPSZN,disposition
disputa,DSPT,dispute
disputar,DSPTR,dispute
despacio,DSPZ,slow
desear,DSR,wish
desorden,DSRDN,disorder
desarrollo,DSRRY,development
desarrollar,DSRRYR,develop
desierto,DSRT,desert
dosis,DSS,dose
desesperación,DSSPRZ,despair
desastre,DSSTR,disaster
destacar,DSTKR,stand-out
destino,DSTN,destiny
distinguir,DSTNGR,distinguish
destinar,DSTNR,allocate
distinto,DSTNT,different
distancia,DSTNZ,distance
distinción,DSTNZN,distinction
desatar,DSTR,unleash
destruir,DSTRR,destroy
distrito,DSTRT,district
distribuir,DSTRVR,distribute
distribución,DSTRVZ,distribution
destrucción,DSTRXN,destruction
destrozar,DSTRZR,destroy
desviar,DSVR,divert
desayuno,DSYN,breakfast
descifrar,DSZFRR,decipher
descendiente,DSZNDN,descendant
descender,DSZNDR,descend
doscientos,DSZNTS,twohundred
discípulo,DSZPL,disciple
disciplina,DSZPLN,discipline
dato,DT,fact
dieta,DT,diet
detectar,DTKTR,detect
detenido,DTND,detained
detener,DTNR,stop
detención,DTNZN,detention
datar,DTR,date
dotar,DTR,endow
determinado,DTRMND,determined
determinar,DTRMNR,determine
determinación,DTRMNZ,determination
deteriorar,DTRRR,deteriorate
detrás,DTRS,behind
detalle,DTY,detail
detallado,DTYD,detailed
dividir,DVDR,divide
debajo,DVJ,below
dibujo,DVJ,drawing
dibujar,DVJR,draw
diablo,DVL,devil
doble,DVL,double
débil,DVL,weak
debilidad,DVLDD,weakness
doblar,DVLR,fold
debilitar,DVLTR,weaken
devolver,DVLVR,return
divino,DVN,divine
deber,DVR,must
devorar,DVRR,devour
diverso,DVRS,diverse
diversión,DVRSN,fun
divertido,DVRTD,funny
divertir,DVRTR,amuse
divorcio,DVRZ,divorce
división,DVSN,division
debate,DVT,debate
debatir,DVTR,debate
diabetes,DVTS,diabetes
dicho,DX,saying
diccionario,DXNR,dictionary
diez,DZ,ten
doce,DZ,twelve
decidir,DZDR,decide
décimo,DZM,tenth
diciembre,DZMVR,December
decena,DZN,ten
docena,DZN,dozen
diecinueve,DZNV,nineteen
decir,DZR,say
decisión,DZSN,decision
dieciséis,DZSS,sixteen
diecisiete,DZST,seventeen
decisivo,DZSV,decisive
dieciocho,DZX,eighteen
edad,EDD,age
edificio,EDFZ,building
educar,EDKR,educate
educación,EDKZN,education
editar,EDTR,edit
editor,EDTR,editor
edición,EDZN,edition
efecto,EFKT,effect
efectivo,EFKTV,effective
efectivamente,EFKTVM,effectively
eficacia,EFKZ,efficacy
eficaz,EFKZ,efficient
eje,EJ,axis
ejecutar,EJKTR,execute
ejecución,EJKZN,execution
ejemplo,EJMPL,example
ejemplar,EJMPLR,exemplary
ejercer,EJRZR,exercise
ejército,EJRZT,army
ejercicio,EJRZZ,exercise
eco,EK,echo
equilibrio,EKLVR,balance
económico,EKNMK,economic
economista,EKNMST,economist
equipo,EKP,team
ecosistema,EKSSTM,ecosystem
hectárea,EKTR,hectare
equivocar,EKVKR,mistake
equivalente,EKVLNT,equivalent
ecuación,EKZN,equation
el,EL,the
él,EL,he
helado,ELD,icecream
elegante,ELGNT,elegant
elegir,ELJR,choose
helicóptero,ELKPTR,helicopter
eléctrico,ELKTRK,electric
electrón,ELKTRN,electron
electrónico,ELKTRN,electronic
electricidad,ELKTRZ,electricity
eliminar,ELMNR,eliminate
elemento,ELMNT,element
eliminación,ELMNZN,removal
elevar,ELVR,elevate
elaborar,ELVRR,elaborate
elaboración,ELVRZN,elaboration
elección,ELXN,election
emigrar,EMGRR,emigrate
empujar,EMPJR,push
empleo,EMPL,job
empleado,EMPLD,employee
emplear,EMPLR,employ
empapar,EMPPR,soak
emperador,EMPRDR,emperor
emprender,EMPRND,undertake
empresa,EMPRS,company
empezar,EMPZR,start
emisión,EMSN,emission
emitir,EMTR,emit
embajada,EMVJD,embassy
embajador,EMVJDR,ambassador
hembra,EMVR,female
embargo,EMVRG,embargo
embarcar,EMVRKR,board
embarazo,EMVRZ,pregnancy
embarazada,EMVRZD,pregnant
emoción,EMZN,emotion
emocional,EMZNL,emotional
emocionar,EMZNR,excite
en,EN,in
endurecer,ENDRZR,harden
enfoque,ENFK,focus
enfermo,ENFRM,sick
enfermedad,ENFRMD,illness
enfermar,ENFRMR,sicken
enfermero,ENFRMR,nurse
enfriar,ENFRR,cool
enfatizar,ENFTZR,emphasize
engaño,ENGNY,deception
engañar,ENGNYR,deceive
enojar,ENJR,anger
encaje,ENKJ,lace
encajar,ENKJR,fit
encanto,ENKNT,charm
encantar,ENKNTR,enchant
encontrar,ENKNTR,find
encuentro,ENKNTR,encounter
encargo,ENKRG,order
encarar,ENKRR,confront
encuesta,ENKST,survey
enlace,ENLZ,link
enemigo,ENMG,enemy
enero,ENR,January
energía,ENRJ,energy
enriquecer,ENRKZR,enrich
enorme,ENRM,enormous
enseñanza,ENSNYN,teaching
enseñar,ENSNYR,teach
ensayo,ENSY,essay
ensayar,ENSYR,rehearse
entidad,ENTDD,entity
entender,ENTNDR,understand
entonar,ENTNR,intone
entonces,ENTNZS,then
entero,ENTR,whole
entre,ENTR,among
entrada,ENTRD,entrance
entregar,ENTRGR,deliver
entorno,ENTRN,environment
entrenador,ENTRND,coach
entrenamiento,ENTRNM,training
entrenar,ENTRNR,train
entrañas,ENTRNY,guts
entierro,ENTRR,burial
entrar,ENTRR,enter
enterrar,ENTRRR,bury
entretener,ENTRTN,entertain
entretenimiento,ENTRTN,entertainment
entrevista,ENTRVS,interview
entusiasmar,ENTSSM,excite
entusiasmo,ENTSSM,enthusiasm
envío,ENV,shipment
envidia,ENVD,envy
envidiar,ENVDR,envy
envejecer,ENVJZR,age
envolver,ENVLVR,wrap
enviar,ENVR,send
encima,ENZM,above
encender,ENZNDR,ignite
encerrar,ENZRRR,enclose
época,EPK,era
episodio,EPSD,episode
euro,ER,euro
héroe,ER,hero
herida,ERD,wound
herido,ERD,wounded
heredar,ERDR,inherit
heredero,ERDR,heir
hermana,ERMN,sister
hermano,ERMN,brother
hermoso,ERMS,beautiful
herencia,ERNZ,inheritance
europeo,ERP,European
herir,ERR,injure
herramienta,ERRMNT,tool
error,ERRR,error
hervir,ERVR,boil
esa,ES,that
ese,ES,that
eso,ES,that
esfera,ESFR,sphere
esfuerzo,ESFRZ,effort
escudo,ESKD,shield
escoger,ESKJR,choose
escala,ESKL,scale
escuela,ESKL,school
escalón,ESKLN,step
escalera,ESKLR,ladder
escolar,ESKLR,school
escultura,ESKLTR,sculpture
esclavo,ESKLV,slave
esclavitud,ESKLVT,slavery
esquema,ESKM,scheme
esquina,ESKN,corner
escándalo,ESKNDL,scandal
esconder,ESKNDR,hide
escapar,ESKPR,escape
escupir,ESKPR,spit
escrito,ESKRT,written
escritor,ESKRTR,writer
escritorio,ESKRTR,desk
escritura,ESKRTR,writing
escribir,ESKRVR,write
escasez,ESKSZ,scarcity
escuchar,ESKXR,listen
esencia,ESNZ,essence
espada,ESPD,sword
espejo,ESPJ,mirror
especulación,ESPKLZ,speculation
espectador,ESPKTD,spectator
espectáculo,ESPKTK,show
espectro,ESPKTR,spectrum
espalda,ESPLD,back
esplendor,ESPLND,splendor
espuma,ESPM,foam
espina,ESPN,thorn
espanto,ESPNT,fright
espantar,ESPNTR,scare
espantoso,ESPNTS,frightful
español,ESPNYL,Spanish
espera,ESPR,wait
espiar,ESPR,spy
esperanza,ESPRNZ,hope
espíritu,ESPRT,spirit
espiritual,ESPRTL,spiritual
espeso,ESPS,thick
esposa,ESPS,wife
esposo,ESPS,husband
espacio,ESPZ,space
especie,ESPZ,species
especificar,ESPZFK,specify
específico,ESPZFK,specific
especial,ESPZL,special
especialidad,ESPZLD,specialty
especialmente,ESPZLM,especially
especialista,ESPZLS,specialist
este,EST,this
esto,EST,this
éste,EST,this
estadio,ESTD,stadium
estado,ESTD,state
estudio,ESTD,study
estadounidense,ESTDND,American
estudiante,ESTDNT,student
estudiar,ESTDR,study
estadística,ESTDST,statistic
estadístico,ESTDST,statistical
estilo,ESTL,style
estómago,ESTMG,stomach
estimular,ESTMLR,stimulate
estimar,ESTMR,estimate
estimación,ESTMZN,estimation
estúpido,ESTPD,stupid
estupidez,ESTPDZ,stupidity
estupendo,ESTPND,great
estar,ESTR,be
estricto,ESTRKT,strict
estirar,ESTRR,stretch
estrategia,ESTRTJ,strategy
estratégico,ESTRTJ,strategic
estrecho,ESTRX,narrow
estrella,ESTRY,star
estrellar,ESTRYR,crash
estas,ESTS,these
estos,ESTS,these
estatua,ESTT,statue
estatal,ESTTL,state
estatura,ESTTR,stature
estable,ESTVL,stable
estabilidad,ESTVLD,stability
establecer,ESTVLZ,establish
estallar,ESTYR,burst
estación,ESTZN,station
escena,ESZN,scene
escenario,ESZNR,stage
ética,ETK,ethics
ético,ETK,ethical
etiqueta,ETKT,label
etapa,ETP,stage
eterno,ETRN,eternal
eternidad,ETRNDD,eternity
evidente,EVDNT,evident
evidencia,EVDNZ,evidence
evocar,EVKR,evoke
evaluación,EVLZN,evaluation
evolución,EVLZN,evolution
evolucionar,EVLZNR,evolve
evangelio,EVNJL,gospel
evitar,EVTR,avoid
hecho,EX,fact
exhibir,EXIVR,exhibit
exhibición,EXIVZN,exhibition
exigir,EXJR,demand
exagerar,EXJRR,exaggerate
excluir,EXKLR,exclude
excursión,EXKRSN,excursion
excusa,EXKS,excuse
exacto,EXKT,exact
exactamente,EXKTMN,exactly
examen,EXMN,exam
examinar,EXMNR,examine
expedición,EXPDZN,expedition
expectativa,EXPKTT,expectation
explicar,EXPLKR,explain
explicación,EXPLKZ,explanation
explorar,EXPLRR,explore
explosión,EXPLSN,explosion
expulsar,EXPLSR,expel
explotar,EXPLTR,exploit
explotación,EXPLTZ,exploitation
exponer,EXPNR,expose
experimentar,EXPRMN,experience
experimento,EXPRMN,experiment
experiencia,EXPRNZ,experience
expresión,EXPRSN,expression
expresar,EXPRSR,express
experto,EXPRT,expert
exportar,EXPRTR,export
exportación,EXPRTZ,export
exposición,EXPSZN,exposition
echar,EXR,throw
existente,EXSTNT,existing
existencia,EXSTNZ,existence
existir,EXSTR,exist
extender,EXTNDR,extend
extinguir,EXTNGR,extinguish
extenso,EXTNS,extensive
extensión,EXTNSN,extension
extinción,EXTNZN,extinction
extremo,EXTRM,extreme
externo,EXTRN,external
extranjero,EXTRNJ,foreigner
extrañar,EXTRNY,miss
extraño,EXTRNY,strange
exterior,EXTRR,exterior
extraer,EXTRR,extract
extraordinario,EXTRRD,extraordinary
exceder,EXZDR,exceed
excelente,EXZLNT,excellent
excelencia,EXZLNZ,excellence
excepto,EXZPT,except
excepcional,EXZPZN,exceptional
excepción,EXZPZN,exception
excesivo,EXZSV,excessive
ella,EY,she
ello,EY,it
fe,F,faith
feo,F,ugly
fidelidad,FDLDD,fidelity
federal,FDRL,federal
federación,FDRZN,federation
